index,GLD_Close,GLD_dailyReturns,GC=F_Close,GC=F_dailyReturns,spread,abs_sprd,GLD_rolling avg,GC=F_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,GC=F_Size,GLD_Cashflow,GC=F_Cashflow,GLD_MTM,GC=F_MTM,Live Trades,GLD_PnL,GC=F_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL
2010-01-01,109.80000305175781,0.0,1117.699951171875,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-02,109.80000305175781,0.0,1117.699951171875,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-03,109.80000305175781,0.0,1117.699951171875,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-04,109.80000305175781,0.0,1117.699951171875,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-05,109.69999694824219,-0.0009108023746454696,1118.0999755859375,0.00035789964349830505,-0.0012687020181437747,0.0012687020181437747,,,0,0,0.0,10,4.005079434433557,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-06,111.51000213623047,0.01649959196299955,1135.9000244140625,0.015919908073333877,0.000579683889665672,0.000579683889665672,,,1,0,0.0,10,9.828644708096926,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-07,110.81999969482422,-0.006187807624317698,1133.0999755859375,-0.0024650486556414553,-0.003722758968676243,0.003722758968676243,,,0,0,0.0,10,4.07322854107704,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-08,111.37000274658203,0.0049630306196752905,1138.199951171875,0.004500905212093231,0.0004621254075820591,0.0004621254075820591,,,1,0,0.0,10,9.268367476496916,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-09,111.37000274658203,0.0,1138.199951171875,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-10,111.37000274658203,0.0,1138.199951171875,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-11,112.8499984741211,0.01328899785435711,1150.699951171875,0.010982253150801924,0.002306744703555186,0.002306744703555186,,,1,0,0.0,10,8.426743140485929,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-12,110.48999786376953,-0.020912721685971136,1128.9000244140625,-0.018944927159865954,-0.001967794526105182,0.001967794526105182,,,0,0,0.0,10,9.25581998137019,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-13,111.54000091552734,0.00950315025847348,1136.4000244140625,0.006643635253611446,0.0028595150048620344,0.0028595150048620344,,,1,0,0.0,10,7.1226036099262595,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-14,112.02999877929688,0.004393023666376061,1142.5999755859375,0.005455782329001346,-0.001062758662625285,0.001062758662625285,,,0,0,0.0,10,12.66640502611085,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-15,110.86000061035156,-0.01044361493969348,1130.0999755859375,-0.01093996172509093,0.0004963467853974501,0.0004963467853974501,,,1,0,0.0,10,10.67841857984976,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-16,110.86000061035156,0.0,1130.0999755859375,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-17,110.86000061035156,0.0,1130.0999755859375,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-18,110.86000061035156,0.0,1130.0999755859375,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-19,111.5199966430664,0.005953418988644765,1139.699951171875,0.008494802047013694,-0.002541383058368929,0.002541383058368929,,,0,0,0.0,10,14.582251918116564,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-20,108.94000244140625,-0.02313481240425197,1112.300048828125,-0.02404132975137585,0.0009065173471238808,0.0009065173471238808,,,1,0,0.0,10,10.610285711780486,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-21,107.37000274658203,-0.01441159959280014,1102.699951171875,-0.008630852499165398,-0.005780747093634742,0.005780747093634742,,,0,0,0.0,10,6.150577545795867,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-22,107.16999816894531,-0.001862760291706178,1089.199951171875,-0.012242677607497088,0.01037991731579091,0.01037991731579091,,,1,0,0.0,10,66.7965191619029,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-23,107.16999816894531,0.0,1089.199951171875,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-24,107.16999816894531,0.0,1089.199951171875,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-25,107.4800033569336,0.002892648999579084,1095.199951171875,0.005508630434241768,-0.002615981434662684,0.002615981434662684,,,0,0,0.0,10,19.40499981920944,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-26,107.55999755859375,0.0007442705541653716,1097.9000244140625,0.0024653701265220374,-0.0017210995723566658,0.0017210995723566658,,,0,0,0.0,10,33.811411637768764,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-27,106.52999877929688,-0.009576039444736728,1084.4000244140625,-0.012296201566444842,0.002720162121708114,0.002720162121708114,,,1,0,0.0,10,13.070814285253425,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-28,106.4800033569336,-0.0004693083914030227,1083.5999755859375,-0.0007377801642500792,0.0002684717728470565,0.0002684717728470565,,,1,0,0.0,10,15.998143408723486,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-29,105.95999908447266,-0.004883586176437471,1083.0,-0.000553687337998543,-0.004329898838438928,0.004329898838438928,,,0,0,0.0,10,1.1588100337780594,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-30,105.95999908447266,0.0,1083.0,0.0,0.0,0.0,0.008377557656854847,0.008273241747474182,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008377557656854847,0.0,0.0,0.0,0,0.0
2010-01-31,105.95999908447266,0.0,1083.0,0.0,0.0,0.0,0.008377557656854847,0.008273241747474182,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008377557656854847,0.0,0.0,0.0,0,0.0
2010-02-01,108.3499984741211,0.02255567582388429,1104.300048828125,0.019667635113688853,0.0028880407101954386,0.0028880407101954386,0.009430473768785787,0.009095077737425959,1,0,0.0,10,8.886985673483213,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009430473768785787,0.0,0.0,0.0,0,0.0
2010-02-02,109.12999725341797,0.007198881313165595,1117.4000244140625,0.011862695831480918,-0.0046638145183153235,0.0046638145183153235,0.009532044686069965,0.009365215625161679,0,0,0.0,10,16.872635077589173,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009532044686069965,0.0,0.0,0.0,0,0.0
2010-02-03,108.69999694824219,-0.003940257637661704,1111.4000244140625,-0.005369607901294149,0.001429350263632445,0.001429350263632445,0.009556877885251381,0.009417047536233574,1,0,0.0,10,13.933455164044908,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009556877885251381,0.0,0.0,0.0,0,0.0
2010-02-04,104.37000274658203,-0.03983435439949368,1062.4000244140625,-0.04408853601189466,0.004254181612400987,0.004254181612400987,0.01197907265043905,0.012368811534363127,1,0,0.0,10,11.26627304075529,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012368811534363127,0.0,0.0,0.0,0,0.0
2010-02-05,104.68000030517578,0.002970178695371306,1052.199951171875,-0.00960097233413848,0.012571151029509786,0.012571151029509786,0.011520506412328399,0.011992266069053606,1,1,1.0,10,32.49130849570452,-325.0,10.0,34021.00009918213,-10521.99951171875,0.0,0.0,Opened,34021.00009918213,-10521.99951171875,0.0,0.011992266069053606,44542.99961090088,0.0,0.0,0,0.0
2010-02-06,104.68000030517578,0.0,1052.199951171875,0.0,0.0,0.0,0.011499052913106116,0.012000797418750535,1,1,0.0,10,,325.0,-10.0,-34021.00009918213,10521.99951171875,0.0,0.0,Live,0.0,0.0,0.0,0.012000797418750535,44542.99961090088,0.0,0.0,0,0.0
2010-02-07,104.68000030517578,0.0,1052.199951171875,0.0,0.0,0.0,0.011433414278117181,0.011939586168452098,1,1,0.0,10,,325.0,-10.0,-34021.00009918213,10521.99951171875,0.0,0.0,Live,0.0,0.0,0.0,0.011939586168452098,44542.99961090088,0.0,0.0,0,0.0
2010-02-08,104.04000091552734,-0.006113864996012963,1065.699951171875,0.012830261002164667,-0.01894412599817763,0.01894412599817763,0.011451029948974864,0.012259416805784643,0,0,-1.0,10,21.49583130326753,325.0,-10.0,-33813.00029754639,10656.99951171875,207.9998016357422,135.0,Closed,-33813.00029754639,10656.99951171875,342.9998016357422,0.012259416805784643,44469.99980926514,342.9998016357422,0.007713060560083016,0,342.9998016357422
2010-02-09,105.41000366210938,0.01316803858637372,1076.699951171875,0.010321854653276619,0.0028461839330971017,0.0028461839330971017,0.011785856220492826,0.012464038336215818,1,0,0.0,10,8.006625469323058,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012464038336215818,0.0,0.0,0.0,0,0.0
