Date,BTC-USD_Close,BTC-USD_dailyReturns,ETH-USD_Close,ETH-USD_dailyReturns,spread,abs_sprd,BTC-USD_rolling avg,ETH-USD_rolling avg,isSprdPos,signal,axe,leverage,ratio,BTC-USD_Size,ETH-USD_Size,BTC-USD_Cashflow,ETH-USD_Cashflow,BTC-USD_MTM,ETH-USD_MTM,Live Trades,BTC-USD_PnL,ETH-USD_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-01-02,44957.96875,0.017900939051301412,2355.83642578125,0.001491520357524756,0.016409418693776656,0.016409418693776656,,,1,0,,5,0.004366081345454721,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-03,42848.17578125,-0.04692812036242189,2210.761962890625,-0.06158087263741796,0.014652752274996073,0.014652752274996073,,,1,0,0.0,5,0.06770524688198476,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-04,44179.921875,0.03108057856532498,2269.0380859375,0.02636019798833411,0.004720380576990868,0.004720380576990868,,,1,0,0.0,5,0.0435588509946421,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-05,44162.69140625,-0.0003900067727314882,2268.647216796875,-0.00017226204489362296,-0.00021774472783786525,0.00021774472783786525,,,0,0,0.0,5,0.022689706774582343,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-06,43989.1953125,-0.003928567037593367,2241.624755859375,-0.011911266210730354,0.007982699173136987,0.007982699173136987,0.029594146392949335,0.032447789240055244,1,0,0.0,5,0.1545043314775891,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.032447789240055244,0.0,0.0,0.0,0,0.0,0.0
2024-01-07,43943.09765625,-0.0010479313368322307,2222.865966796875,-0.008368389496710593,0.0073204581598783625,0.0073204581598783625,0.02781603670319088,0.03193397204997691,1,0,0.0,5,0.4039537709918663,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03193397204997691,0.0,0.0,0.0,0,0.0,0.0
2024-01-08,46970.50390625,0.06889378335779228,2333.03271484375,0.04956067963271038,0.0193331037250819,0.0193331037250819,0.031380369424594066,0.026209243510547337,1,0,0.0,5,0.03573162994605028,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.031380369424594066,0.0,0.0,0.0,0,0.0,0.0
2024-01-09,46139.73046875,-0.017687130611972357,2344.8271484375,0.005055408575588727,-0.022742539187561084,0.022742539187561084,0.03411600816552365,0.02480079581715627,0,0,0.0,5,0.014525619327054614,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03411600816552365,0.0,0.0,0.0,0,0.0,0.0
2024-01-10,46627.77734375,0.010577584004972662,2582.103515625,0.10119141078079541,-0.09061382677582275,0.09061382677582275,0.03369785315560054,0.048114105732950656,0,1,1.0,5,0.5297684647237193,3.0,-5.0,-139883.33203125,12910.517578125,0.0,0.0,Opened,-139883.33203125,12910.517578125,0.0,0.048114105732950656,152793.849609375,0.0,0.0,0,0.0,152793.849609375
2024-01-11,46368.5859375,-0.005558733892443213,2619.619140625,0.014529094117638142,-0.020087828010081354,0.020087828010081354,0.03389010940078581,0.04403380650093261,0,1,0.0,5,0.1476647914212521,-3.0,5.0,139105.7578125,-13098.095703125,-777.57421875,-187.578125,Live,0.0,0.0,0.0,0.04403380650093261,152203.853515625,-965.15234375,-0.006341182049315979,0,0.0,0.0
