index,AMD_Close,AMD_dailyReturns,NVDA_Close,NVDA_dailyReturns,spread,abs_sprd,AMD_rolling avg,NVDA_rolling avg,isSprdPos,signal,axe,leverage,ratio,AMD_Size,NVDA_Size,AMD_Cashflow,NVDA_Cashflow,AMD_MTM,NVDA_MTM,Live Trades,AMD_PnL,NVDA_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2010-01-01,9.699999809265137,0.0,0.42388367652893066,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-02,9.699999809265137,0.0,0.42388367652893066,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-03,9.699999809265137,0.0,0.42388367652893066,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-04,9.699999809265137,0.0,0.42388367652893066,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-05,9.710000038146973,0.001030951451389095,0.4300733804702759,0.01460236447893215,-0.013571413027543056,0.013571413027543056,,,0,0,0.0,10,0.627347686770839,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-06,9.569999694824219,-0.014418160944669856,0.43282440304756165,0.006396635323668631,-0.020814796268338487,0.020814796268338487,,,0,0,0.0,10,0.020065109666219102,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-07,9.470000267028809,-0.010449261335869542,0.4243422746658325,-0.019597158390343927,0.009147897054474385,0.009147897054474385,,,1,0,0.0,10,0.08403763473332451,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-08,9.430000305175781,-0.004223860689032244,0.42525914311408997,0.0021606813720822515,-0.006384542061114495,0.006384542061114495,,,0,0,0.0,10,0.023068698597108358,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-09,9.430000305175781,0.0,0.42525914311408997,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-10,9.430000305175781,0.0,0.42525914311408997,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
