index,KO_Close,KO_dailyReturns,PEP_Close,PEP_dailyReturns,spread,abs_sprd,KO_rolling avg,PEP_rolling avg,isSprdPos,signal,axe,leverage,ratio,KO_Size,PEP_Size,KO_Cashflow,PEP_Cashflow,KO_MTM,PEP_MTM,Live Trades,KO_PnL,PEP_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2010-01-01,17.94980239868164,0.0,39.479671478271484,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-02,17.94980239868164,0.0,39.479671478271484,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-03,17.94980239868164,0.0,39.479671478271484,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-04,17.94980239868164,0.0,39.479671478271484,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-05,17.732664108276367,-0.012096973859791471,39.95672607421875,0.012083550295240553,-0.024180524155032024,0.024180524155032024,,,0,0,0.0,10,2.2507834879841746,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-06,17.72637367248535,-0.0003547372099649282,39.557037353515625,-0.010003039787612078,0.00964830257764715,0.00964830257764715,,,1,0,0.0,10,62.925852464698245,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-07,17.682308197021484,-0.0024858708429612575,39.30559539794922,-0.006356440532168883,0.003870569689207626,0.003870569689207626,,,1,0,0.0,10,5.683957882689715,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-08,17.355043411254883,-0.018508035383170585,39.17667770385742,-0.003279881472003421,-0.015228153911167164,0.015228153911167164,,,0,0,0.0,10,0.4000366003699134,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-09,17.355043411254883,0.0,39.17667770385742,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-10,17.355043411254883,0.0,39.17667770385742,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-11,17.707496643066406,0.02030840392960087,39.131561279296875,-0.001151614358460673,0.021460018288061544,0.021460018288061544,,,1,0,0.0,10,0.12531448854122829,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-12,17.89944839477539,0.010840140511004792,39.67951583862305,0.014002880064386103,-0.0031627395533813107,0.0031627395533813107,,,0,0,0.0,10,2.863579035267763,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-13,17.946651458740234,0.0026371239450384554,40.001853942871094,0.008123539247782086,-0.00548641530274363,0.00548641530274363,,,0,0,0.0,10,6.866120677268732,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-14,17.978124618530273,0.0017537065263899532,40.48534393310547,0.012086689555061092,-0.010332983028671139,0.010332983028671139,,,0,0,0.0,10,15.520435233161516,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-15,17.71379280090332,-0.014702969482951689,40.15657043457031,-0.008120802902857771,-0.006582166580093918,0.006582166580093918,,,0,0,0.0,10,1.252099864787958,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-16,17.71379280090332,0.0,40.15657043457031,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-17,17.71379280090332,0.0,40.15657043457031,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-18,17.71379280090332,0.0,40.15657043457031,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-19,17.754690170288086,0.002308786709003474,40.1823616027832,0.00064226521173949,0.0016665214972639841,0.0016665214972639841,,,1,0,0.0,10,0.6295829308970091,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-20,17.465179443359375,-0.016306154833002795,39.9373893737793,-0.006096511484953049,-0.010209643348049746,0.010209643348049746,,,0,0,0.0,10,0.8549416104130168,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-21,17.109577178955078,-0.02036064190222242,39.28626251220703,-0.016303691147117383,-0.004056950755105038,0.004056950755105038,,,0,0,0.0,10,1.8386366425045944,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-22,17.068674087524414,-0.0023906547194501027,38.93169021606445,-0.009025350681613031,0.006634695962162929,0.006634695962162929,,,1,0,0.0,10,8.610942767369806,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-23,17.068674087524414,0.0,38.93169021606445,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-24,17.068674087524414,0.0,38.93169021606445,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-25,17.103286743164062,0.0020278467713521486,38.828548431396484,-0.0026493014841006968,0.004677148255452845,0.004677148255452845,,,1,0,0.0,10,2.965977317406338,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-26,17.037206649780273,-0.003863590336529943,38.8414421081543,0.0003320669270083787,-0.004195657263538322,0.004195657263538322,,,0,0,0.0,10,0.19594379130479256,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-27,17.153636932373047,0.0068338833346413,38.86723327636719,0.0006640116023775011,0.006169871732263799,0.006169871732263799,,,1,0,0.0,10,0.22015853199668903,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-28,17.049785614013672,-0.006054186570976228,38.512664794921875,-0.00912255521055838,0.003068368639582153,0.003068368639582153,,,1,0,0.0,10,3.403653544970086,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-29,17.071819305419922,0.0012923148657153494,38.4352912902832,-0.002009040533826556,0.0033013553995419054,0.0033013553995419054,,,1,0,0.0,10,3.5000216468052545,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-30,17.071819305419922,0.0,38.4352912902832,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-31,17.071819305419922,0.0,38.4352912902832,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-01,17.11272621154785,0.002396165598762101,39.131561279296875,0.018115382130320823,-0.015719216531558722,0.015719216531558722,,,0,0,0.0,10,17.287756806059484,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-02,17.323566436767578,0.01232066840860524,39.421653747558594,0.007413260774115749,0.004907407634489491,0.004907407634489491,,,1,0,0.0,10,1.3692178151699759,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-03,17.266925811767578,-0.0032695706860791374,39.51191329956055,0.002289593241824539,-0.005559163927903676,0.005559163927903676,,,0,0,0.0,10,1.6024358063478104,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-04,16.81378173828125,-0.026243471387217387,38.44820022583008,-0.02692132536498304,0.0006778539777656523,0.0006778539777656523,,,1,0,0.0,10,2.345771822161904,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-05,16.706777572631836,-0.006364074859244173,38.36438751220703,-0.002179886526047059,-0.004184188333197114,0.004184188333197114,,,0,0,0.0,10,0.7865642182332375,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-06,16.706777572631836,0.0,38.36438751220703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-07,16.706777572631836,0.0,38.36438751220703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-08,16.568321228027344,-0.008287435683067002,38.00981140136719,-0.009242324296902193,0.000954888613835192,0.000954888613835192,,,1,0,0.0,10,2.5584576983197356,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-09,16.99629783630371,0.025831018265893624,38.71250534057617,0.018487172477359648,0.007343845788533976,0.007343845788533976,,,1,0,0.0,10,1.630143782532247,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-10,16.92706298828125,-0.004073525228216246,38.92525863647461,0.005495725322521183,-0.00956925055073743,0.00956925055073743,,,0,0,0.0,10,3.102447954984464,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-11,17.0623836517334,0.007994338034060133,39.44743728637695,0.013414905082044681,-0.005420567047984548,0.005420567047984548,,,0,0,0.0,10,3.8795753164722466,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-12,16.986852645874023,-0.004426755803940807,39.27336120605469,-0.004412861577255955,-1.3894226684851851e-05,1.3894226684851851e-05,,,0,0,0.0,10,2.304729134062898,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-13,16.986852645874023,0.0,39.27336120605469,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-14,16.986852645874023,0.0,39.27336120605469,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
