index,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,2330.TW_Cashflow,2454.TW_Cashflow,2330.TW_MTM,2454.TW_MTM,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2010-01-01,40.40617752075195,0.0,266.6225891113281,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-02,40.40617752075195,0.0,266.6225891113281,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-03,40.40617752075195,0.0,266.6225891113281,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-04,40.40617752075195,0.0,266.6225891113281,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-05,40.15713882446289,-0.006163381729468509,267.0927734375,0.0017634827106698392,-0.007926864440138348,0.007926864440138348,,,0,0,0.0,10,1.9030557683276692,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-06,40.40617752075195,0.006201604585866383,270.3843994140625,0.012323905039432814,-0.006122300453566432,0.006122300453566432,,,0,0,0.0,10,13.297749075377522,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-07,39.97035217285156,-0.010786106844097199,263.8011779785156,-0.024347637843799674,0.013561530999702476,0.013561530999702476,,,1,0,0.0,10,14.898099519031511,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-08,39.84584045410156,-0.0031151018687939347,258.6285705566406,-0.019607976967776386,0.01649287509898245,0.01649287509898245,,,1,0,0.0,10,40.85583045022487,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-09,39.84584045410156,0.0,258.6285705566406,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-10,39.84584045410156,0.0,258.6285705566406,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-11,40.15713882446289,0.007812568810536602,262.39044189453125,0.014545459265362881,-0.006732890454826279,0.006732890454826279,,,0,0,0.0,10,12.165188196270813,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-12,39.596797943115234,-0.013953705312448883,262.39044189453125,0.0,-0.013953705312448883,0.013953705312448883,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-13,39.09872817993164,-0.01257853637304518,257.2179260253906,-0.01971304988014666,0.007134513507101481,0.007134513507101481,,,1,0,0.0,10,10.310086579445752,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-14,39.34775924682617,0.006369288170921861,269.4439697265625,0.047531849315840535,-0.041162561144918675,0.041162561144918675,,,0,0,0.0,10,51.10251520099512,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-15,39.5345458984375,0.004747072137948782,274.6165466308594,0.01919722645693689,-0.014450154318988107,0.014450154318988107,,,0,0,0.0,10,28.09070269324735,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-16,39.5345458984375,0.0,274.6165466308594,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-17,39.5345458984375,0.0,274.6165466308594,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-18,39.16099166870117,-0.009448805373810876,275.5570068359375,0.00342463051340558,-0.012873435887216456,0.012873435887216456,,,0,0,0.0,10,2.5503195275749584,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-19,38.91195297241211,-0.006359356228665236,268.03326416015625,-0.027303761069885524,0.020944404841220288,0.020944404841220288,,,1,0,0.0,10,29.574335033505662,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-20,39.22324752807617,0.007999972550459367,270.8546447753906,0.010526233093025805,-0.0025262605425664386,0.0025262605425664386,,,0,0,0.0,10,9.086093986190036,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-21,38.97420883178711,-0.006349262541578193,258.6285705566406,-0.04513887597862176,0.03878961343704357,0.03878961343704357,,,1,0,0.0,10,47.17660089176908,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-22,38.04032516479492,-0.02396158113235436,245.93226623535156,-0.04909088077145951,0.02512929963910515,0.02512929963910515,,,1,0,0.0,10,13.2451427486322,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-23,38.04032516479492,0.0,245.93226623535156,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-24,38.04032516479492,0.0,245.93226623535156,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-25,37.60451126098633,-0.011456629298529863,247.34298706054688,0.005736216913665437,-0.0171928462121953,0.0171928462121953,,,0,0,0.0,10,3.2932777312092067,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-26,37.41773223876953,-0.004966931252489815,242.64065551757812,-0.019011380103603592,0.014044448851113778,0.014044448851113778,,,1,0,0.0,10,24.820561599175747,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
