index,HG=F_Close,HG=F_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,HG=F_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,HG=F_Size,COPX_Size,HG=F_Cashflow,COPX_Cashflow,HG=F_MTM,COPX_MTM,Live Trades,HG=F_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2020-01-01,2.8329999446868896,0.0,18.669204711914062,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-02,2.8329999446868896,0.0,18.669204711914062,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-03,2.7985000610351562,-0.012177862451580923,18.146352767944336,-0.028006117670136166,0.015828255218555243,0.015828255218555243,,,1,0,0.0,10,14.912342625414993,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-04,2.7985000610351562,0.0,18.146352767944336,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-05,2.7985000610351562,0.0,18.146352767944336,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-06,2.80049991607666,0.0007146167582230412,18.047197341918945,-0.005464206901154789,0.00617882365937783,0.00617882365937783,,,1,0,0.0,10,49.275171247530885,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-07,2.803999900817871,0.0012497714144246164,18.146352767944336,0.005494228502454401,-0.004244457088029785,0.004244457088029785,,,0,0,0.0,10,28.4503416487157,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-08,2.819000005722046,0.005349538314819435,18.03818130493164,-0.005961058092278537,0.011310596407097973,0.011310596407097973,,,1,0,0.0,10,7.130249433686822,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-09,2.810499906539917,-0.0030152888133647693,17.939023971557617,-0.005497080426113299,0.0024817916127485296,0.0024817916127485296,,,1,0,0.0,10,11.636393781565777,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-10,2.81850004196167,0.0028465168787719097,18.092269897460938,0.00854260109949645,-0.00569608422072454,0.00569608422072454,0.004638633777077008,0.009931350860510604,0,0,0.0,10,19.264217641619478,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009931350860510604,0.0,0.0,0.0,0,0.0,0.0
2020-01-11,2.81850004196167,0.0,18.092269897460938,0.0,0.0,0.0,0.004638633777077008,0.009931350860510604,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009931350860510604,0.0,0.0,0.0,0,0.0,0.0
