index,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,2330.TW_Cashflow,2454.TW_Cashflow,2330.TW_MTM,2454.TW_MTM,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-01-01,583.12060546875,0.0,915.8331909179688,0.0,0.0,0.0,,,1,0,,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-02,583.12060546875,0.0,915.8331909179688,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-03,568.3705444335938,-0.025295043421247665,889.6932373046875,-0.0285422649806788,0.003247221559431135,0.003247221559431135,,,1,0,0.0,5,1.76628886554168,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-04,570.337158203125,0.003460090936786786,889.309814453125,-0.0004309607351001832,0.003891051671886969,0.003891051671886969,,,1,0,0.0,5,0.1942100089629239,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-05,566.40380859375,-0.006896534011157862,882.6017456054688,-0.007543005529272562,0.0006464715181146996,0.0006464715181146996,,,1,0,0.0,5,1.7043240044559742,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-06,566.40380859375,0.0,882.6017456054688,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-07,566.40380859375,0.0,882.6017456054688,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-08,573.2872314453125,0.012152854107129851,881.6434326171875,-0.0010857818863975188,0.01323863599352737,0.01323863599352737,,,1,0,0.0,5,0.1373994567715056,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-09,576.2372436523438,0.005145783902414713,889.309814453125,0.00869555826348023,-0.0035497743610655164,0.0035497743610655164,,,0,0,0.0,5,2.60794054452187,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-10,574.2705078125,-0.0034130661659043104,885.4766845703125,-0.004310230046397967,0.0008971638804936566,0.0008971638804936566,,,1,0,0.0,5,1.9472259985305784,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-11,576.2372436523438,0.003424755081599784,881.6434326171875,-0.004329026410204273,0.007753781491804057,0.007753781491804057,,,1,0,0.0,5,1.9339817385989977,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
