index,SPY_Close,SPY_dailyReturns,IVV_Close,IVV_dailyReturns,spread,abs_sprd,SPY_rolling avg,IVV_rolling avg,isSprdPos,signal,axe,leverage,ratio,SPY_Size,IVV_Size,SPY_Cashflow,IVV_Cashflow,SPY_MTM,IVV_MTM,Live Trades,SPY_PnL,IVV_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-01-01,466.6639709472656,0.0,468.49066162109375,0.0,0.0,0.0,,,1,0,,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-02,466.6639709472656,0.0,468.49066162109375,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-03,462.8528747558594,-0.008166681871047854,464.66290283203125,-0.00817040573619443,3.7238651465765216e-06,3.7238651465765216e-06,,,1,0,0.0,5,1.0043683563457195,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-04,461.3619689941406,-0.003221122397706111,463.23248291015625,-0.00307840353330735,-0.00014271886439876091,0.00014271886439876091,,,0,0,0.0,5,0.9595675100503838,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-05,461.993896484375,0.0013697000028245476,463.7849426269531,0.0011926186897044389,0.00017708131312010877,0.00017708131312010877,,,1,0,0.0,5,0.8740908234815276,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-06,461.993896484375,0.0,463.7849426269531,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-07,461.993896484375,0.0,463.7849426269531,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-08,468.58929443359375,0.014275941737342368,470.167724609375,0.01376237431570937,0.0005135674216329988,0.0005135674216329988,,,1,0,0.0,5,0.9672729652364699,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-09,467.87841796875,-0.0015170565637933064,469.72381591796875,-0.0009441496473945321,-0.0005729069163987743,0.0005729069163987743,,,0,0,0.0,5,0.6248109455486595,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-10,470.5244445800781,0.005655372228570821,472.3577880859375,0.005607491208043713,4.788102052710741e-05,4.788102052710741e-05,,,1,0,0.0,5,0.995396927848918,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-11,470.3171081542969,-0.000440649637164503,472.101318359375,-0.0005429564898289385,0.00010230685266443551,0.00010230685266443551,,,1,0,0.0,5,1.2368471937266559,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-12,470.6429138183594,0.000692736152722695,472.50579833984375,0.0008567652000515125,-0.0001640290473288175,0.0001640290473288175,,,0,0,0.0,5,1.2416797055077111,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-13,470.6429138183594,0.0,472.50579833984375,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-14,470.6429138183594,0.0,472.50579833984375,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-15,470.6429138183594,0.0,472.50579833984375,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-16,468.9150390625,-0.0036713072801649593,470.8681640625,-0.003465850118871794,-0.0002054571612931655,0.0002054571612931655,,,0,0,0.0,5,0.9479691599708979,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-17,466.3085632324219,-0.005558524706926082,468.2242736816406,-0.005614927027660421,5.640232073433893e-05,5.640232073433893e-05,,,1,0,0.0,5,1.0142969273948201,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-18,470.4552917480469,0.008892670739049091,472.23944091796875,0.00857530773609172,0.0003173630029573715,0.0003173630029573715,,,1,0,0.0,5,0.9679688909982205,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-19,476.3200988769531,0.012466236923629248,478.1487121582031,0.012513294587905621,-4.7057664276373146e-05,4.7057664276373146e-05,,,0,0,0.0,5,1.0076283436031774,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-20,476.3200988769531,0.0,478.1487121582031,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-21,476.3200988769531,0.0,478.1487121582031,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-22,477.32720947265625,0.0021143567069239477,479.1846008300781,0.002166457099088248,-5.21003921643004e-05,5.21003921643004e-05,,,0,0,0.0,5,1.0286283677576538,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-23,478.71929931640625,0.0029164267532286736,480.6741943359375,0.003108600533654471,-0.00019217378042579725,0.00019217378042579725,,,0,0,0.0,5,1.070246249502302,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-24,479.2425842285156,0.001093093411643542,481.0392150878906,0.0007593932777218981,0.0003337001339216439,0.0003337001339216439,,,1,0,0.0,5,0.6973239033587548,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-25,481.84918212890625,0.005438994751659543,483.72259521484375,0.005578298073812604,-0.00013930332215306152,0.00013930332215306152,,,0,0,0.0,5,1.029599505239663,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
