index,SPY_Close,SPY_dailyReturns,IVV_Close,IVV_dailyReturns,spread,abs_sprd,SPY_rolling avg,IVV_rolling avg,isSprdPos,signal,axe,leverage,ratio,SPY_Size,IVV_Size,SPY_Cashflow,IVV_Cashflow,SPY_MTM,IVV_MTM,Live Trades,SPY_PnL,IVV_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-01-01,466.6639404296875,0.0,468.49066162109375,0.0,0.0,0.0,,,1,0,,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-02,466.6639404296875,0.0,468.49066162109375,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-03,462.85284423828125,-0.008166682405109649,464.6629333496094,-0.008170340595988534,3.6581908788857476e-06,3.6581908788857476e-06,,,1,0,0.0,5,1.0043604153206245,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-04,461.3619689941406,-0.003221056676434908,463.2324523925781,-0.0030785346847430617,-0.00014252199169184632,0.00014252199169184632,,,0,0,0.0,5,0.9596279074752466,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-05,461.9938659667969,0.0013696338561106636,463.784912109375,0.001192618768273812,0.0001770150878368515,0.0001770150878368515,0.0038364475122489553,0.0037890804219887367,1,0,0.0,5,0.8741330956659746,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0038364475122489553,0.0,0.0,0.0,0,0.0,0.0
2024-01-06,461.9938659667969,0.0,463.784912109375,0.0,0.0,0.0,0.0038364475122489553,0.0037890804219887367,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0038364475122489553,0.0,0.0,0.0,0,0.0,0.0
2024-01-07,461.9938659667969,0.0,463.784912109375,0.0,0.0,0.0,0.0038364475122489553,0.0037890804219887367,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0038364475122489553,0.0,0.0,0.0,0,0.0,0.0
2024-01-08,468.5892639160156,0.01427594268035759,470.1677551269531,0.013762506823578713,0.0005134358567788766,0.0005134358567788766,0.006804041146168086,0.006559261145237484,1,0,0.0,5,0.9672823402875802,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.006804041146168086,0.0,0.0,0.0,0,0.0,0.0
2024-01-09,467.87835693359375,-0.0015171217890926902,469.72381591796875,-0.0009442144939618702,-0.0005729072951308201,0.0005729072951308201,0.0064818486584822385,0.006173721500187268,0,0,0.0,5,0.6248270764306338,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0064818486584822385,0.0,0.0,0.0,0,0.0,0.0
2024-01-10,470.5244445800781,0.005655503417226759,472.3578186035156,0.005607556177238626,4.7947239988133106e-05,4.7947239988133106e-05,0.006524405124039996,0.0062016216169851045,1,0,0.0,5,0.9953854348407788,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.006524405124039996,0.0,0.0,0.0,0,0.0,0.0
