index,HG=F_Close,HG=F_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,HG=F_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,HG=F_Size,COPX_Size,HG=F_Cashflow,COPX_Cashflow,HG=F_MTM,COPX_MTM,Live Trades,HG=F_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2019-04-12,2.946000099182129,0.020790084166056655,20.518688201904297,0.018542956568041946,0.0022471275980147087,0.0022471275980147087,0.009537632481493339,0.011015729629630292,1,0,0.0,10,6.212116167617926,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.011015729629630292,0.0,0.0,0.0,0,0.0,0.0
2019-04-13,2.946000099182129,0.0,20.518688201904297,0.0,0.0,0.0,0.009076627581025643,0.01080038343820225,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01080038343820225,0.0,0.0,0.0,0,0.0,0.0
2019-04-14,2.946000099182129,0.0,20.518688201904297,0.0,0.0,0.0,0.009037359296777795,0.01080244919485007,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01080244919485007,0.0,0.0,0.0,0,0.0,0.0
2019-04-15,2.934000015258789,-0.004073348105681052,20.48311424255371,-0.0017337345838358553,-0.0023396135218451963,0.0023396135218451963,0.009076017854933215,0.010821608503880125,0,0,0.0,10,2.971439975193547,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.010821608503880125,0.0,0.0,0.0,0,0.0,0.0
2019-04-16,2.930500030517578,-0.0011929054952313223,20.563159942626953,0.003907887205303329,-0.005100792700534651,0.005100792700534651,0.009080388867712903,0.010813132358056645,0,0,0.0,10,22.98709571200091,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.010813132358056645,0.0,0.0,0.0,0,0.0,0.0
2019-04-17,2.9755001068115234,0.015355767215603056,20.892242431640625,0.016003497999910632,-0.0006477307843075764,0.0006477307843075764,0.009483910895320023,0.010988676076882836,0,0,0.0,10,7.3175969755353565,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.010988676076882836,0.0,0.0,0.0,0,0.0,0.0
2019-04-18,2.927500009536743,-0.01613177467710325,20.70546531677246,-0.008940022378129076,-0.0071917522989741745,0.0071917522989741745,0.009930585962625433,0.011125426265236792,0,0,0.0,10,3.9196252647472813,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.011125426265236792,0.0,0.0,0.0,0,0.0,0.0
2019-04-19,2.927500009536743,0.0,20.70546531677246,0.0,0.0,0.0,0.009926556840735663,0.011132927188847529,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.011132927188847529,0.0,0.0,0.0,0,0.0,0.0
2019-04-20,2.927500009536743,0.0,20.70546531677246,0.0,0.0,0.0,0.009872274861897545,0.011000505406004453,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.011000505406004453,0.0,0.0,0.0,0,0.0,0.0
2019-04-21,2.927500009536743,0.0,20.70546531677246,0.0,0.0,0.0,0.008919474810294854,0.008696266073950102,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008919474810294854,0.0,0.0,0.0,0,0.0,0.0
2019-04-22,2.9065001010894775,-0.007173324809173542,20.500900268554688,-0.009879760975575191,0.002706436166401649,0.002706436166401649,0.009045169563678568,0.008994064095163238,1,0,0.0,10,9.714680725164433,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009045169563678568,0.0,0.0,0.0,0,0.0,0.0
2019-04-23,2.8984999656677246,-0.002752497899020989,20.251867294311523,-0.012147416502734876,0.009394918603713887,0.009394918603713887,0.009068105624817918,0.009381514753298393,1,1,1.0,10,30.835337037979016,-309.0,10.0,895.6364893913269,-202.51867294311523,0.0,0.0,Opened,895.6364893913269,-202.51867294311523,0.0,0.009381514753298393,1098.1551623344421,0.0,0.0,0,0.0,1098.1551623344421
2019-04-24,2.9175000190734863,0.006555133217462261,19.913888931274414,-0.016688750628542914,0.023243883846005176,0.023243883846005176,0.009101225791503052,0.009969417603137225,1,1,0.0,10,17.377508761182643,309.0,-10.0,-901.5075058937073,199.13888931274414,-5.871016502380371,-3.3797836303710938,Live,0.0,0.0,0.0,0.009969417603137225,1100.6463952064514,-9.250800132751465,-0.008404879326403705,0,0.0,0.0
2019-04-25,2.877500057220459,-0.013710355301293276,19.55812644958496,-0.017865042981671686,0.0041546876803784105,0.0041546876803784105,0.009480712835939488,0.010383904972443786,1,1,0.0,10,8.856604770247841,309.0,-10.0,-889.1475176811218,195.5812644958496,6.488971710205078,-6.937408447265625,Live,0.0,0.0,0.0,0.010383904972443786,1084.7287821769714,-0.4484367370605469,-0.0004134090884548736,0,0.0,0.0
2019-04-26,2.9700000286102295,0.03214594945277649,19.567020416259766,0.00045474533042466625,0.031691204122351824,0.031691204122351824,0.011115273024856234,0.010293916115291998,1,1,0.0,10,0.09319878171995366,309.0,-10.0,-917.7300088405609,195.67020416259766,-22.09351944923401,-6.848468780517578,Live,0.0,0.0,0.0,0.011115273024856234,1113.4002130031586,-28.941988229751587,-0.025994236296835956,1,-28.941988229751587,0.0
2019-04-27,2.9700000286102295,0.0,19.567020416259766,0.0,0.0,0.0,0.011108925155288515,0.010292084976424665,1,1,0.0,10,,309.0,-10.0,-917.7300088405609,195.67020416259766,-22.09351944923401,-6.848468780517578,Live,0.0,0.0,0.0,0.011108925155288515,1113.4002130031586,-28.941988229751587,-0.025994236296835956,1,0.0,0.0
2019-04-28,2.9700000286102295,0.0,19.567020416259766,0.0,0.0,0.0,0.010278894822126369,0.009699936035801132,1,1,0.0,10,,309.0,-10.0,-917.7300088405609,195.67020416259766,-22.09351944923401,-6.848468780517578,Live,0.0,0.0,0.0,0.010278894822126369,1113.4002130031586,-28.941988229751587,-0.025994236296835956,1,0.0,0.0
2019-04-29,2.8949999809265137,-0.02525254106438879,19.46918487548828,-0.005000022419876737,-0.020252518644512052,0.020252518644512052,0.011299061723636199,0.009747365147784869,0,0,-1.0,10,1.3315763392958582,309.0,-10.0,-894.5549941062927,194.6918487548828,1.0814952850341797,-7.826824188232422,Closed,-894.5549941062927,194.6918487548828,-6.745328903198242,0.011299061723636199,1089.2468428611755,-6.745328903198242,-0.006192654077821306,0,0.0,0.0
2019-04-30,2.9014999866485596,0.002245252423098698,19.19346809387207,-0.014161701343919031,0.01640695376701773,0.01640695376701773,0.011309283389572353,0.010088886429942117,1,1,1.0,10,41.72353914101367,-418.0,10.0,1212.826994419098,-191.9346809387207,0.0,0.0,Opened,1212.826994419098,-191.9346809387207,0.0,0.011309283389572353,1404.7616753578186,0.0,0.0,0,0.0,1404.7616753578186
2019-05-01,2.802999973297119,-0.03394796271056166,18.78434181213379,-0.02131591225396645,-0.012632050456595212,0.012632050456595212,0.012848233018133669,0.009496472655527177,0,0,-1.0,10,4.207877577087402,418.0,-10.0,-1171.6539888381958,187.8434181213379,41.1730055809021,-4.0912628173828125,Closed,-1171.6539888381958,187.8434181213379,37.08174276351929,0.012848233018133669,1359.4974069595337,37.08174276351929,0.027276067297878303,0,37.08174276351929,0.0
2019-05-02,2.7839999198913574,-0.006778470776584555,18.455259323120117,-0.017518978961567844,0.010740508184983288,0.010740508184983288,0.012863090589985414,0.009856494783138166,1,0,0.0,10,17.132786250115142,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012863090589985414,0.0,0.0,0.0,0,0.0,0.0
2019-05-03,2.825000047683716,0.014727057820446587,18.891067504882812,0.02361430821059929,-0.008887250390152701,0.008887250390152701,0.012867040112682197,0.010868309583911282,0,0,0.0,10,10.722530143239549,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012867040112682197,0.0,0.0,0.0,0,0.0,0.0
2019-05-04,2.825000047683716,0.0,18.891067504882812,0.0,0.0,0.0,0.012681109124932938,0.0107524809810526,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012681109124932938,0.0,0.0,0.0,0,0.0,0.0
2019-05-05,2.825000047683716,0.0,18.891067504882812,0.0,0.0,0.0,0.012651912132587855,0.01068833915024798,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012651912132587855,0.0,0.0,0.0,0,0.0,0.0
2019-05-06,2.8369998931884766,0.004247732850340968,18.49083709716797,-0.021186225056439745,0.025433957906780713,0.025433957906780713,0.012683852272509432,0.011210047334999819,1,1,1.0,10,32.508253617092464,-326.0,10.0,924.8619651794434,-184.9083709716797,0.0,0.0,Opened,924.8619651794434,-184.9083709716797,0.0,0.012683852272509432,1109.770336151123,0.0,0.0,0,0.0,1109.770336151123
2019-05-07,2.7939999103546143,-0.015156850353467921,17.95718765258789,-0.028860210155753907,0.013703359802285986,0.013703359802285986,0.012959334670808124,0.012132794735925639,1,1,0.0,10,12.237774874791176,326.0,-10.0,-910.8439707756042,179.5718765258789,14.017994403839111,-5.336494445800781,Live,0.0,0.0,0.0,0.012959334670808124,1090.4158473014832,8.68149995803833,0.007961641404536585,0,0.0,0.0
