index,2330.TW_Close,2330.TW_dailyReturns,NVDA_Close,NVDA_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,NVDA_rolling avg,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,NVDA_Size,2330.TW_Cashflow,NVDA_Cashflow,2330.TW_MTM,NVDA_MTM,Live Trades,2330.TW_PnL,NVDA_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2010-01-01,40.406166076660156,0.0,0.4238835871219635,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-02,40.406166076660156,0.0,0.4238835871219635,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-03,40.406166076660156,0.0,0.4238835871219635,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-04,40.406166076660156,0.0,0.4238835871219635,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-05,40.15713882446289,-0.006163100248729347,0.4300732910633087,0.014602367558912421,-0.02076546780764177,0.02076546780764177,,,0,0,0.0,10,0.025374865811437497,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-06,40.406166076660156,0.006201319603117872,0.4328244626522064,0.006396983133027723,-0.0001956635299098508,0.0001956635299098508,,,0,0,0.0,10,0.01104982105750111,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-07,39.97036361694336,-0.010785543446264478,0.4243420958518982,-0.019597706535187664,0.008812163088923186,0.008812163088923186,,,1,0,0.0,10,0.01929040010068383,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-08,39.84583282470703,-0.003115578167608657,0.42525914311408997,0.0021611036735602607,-0.005276681841168918,0.005276681841168918,,,0,0,0.0,10,0.007402999174491551,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-09,39.84583282470703,0.0,0.42525914311408997,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-10,39.84583282470703,0.0,0.42525914311408997,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-11,40.15713882446289,0.007812761779265154,0.41929879784584045,-0.014015795697190803,0.021828557476455956,0.021828557476455956,,,1,0,0.0,10,0.018731563602083907,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-12,39.5968132019043,-0.013953325335450795,0.40508508682250977,-0.03389876407076298,0.019945438735312182,0.019945438735312182,,,1,0,0.0,10,0.02485376365758538,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
