Date,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,2330.TW_Cashflow,2454.TW_Cashflow,,2330.TW_MTM,2454.TW_MTM,MTM,,,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,Gross Capital
17/6/2024,921,-0.001084599,1380,-0.010752688,0.009668089,0.009668089,0.011994279,0.030356686,3.04%,1,0,-1,5,14.8548212,-45,5,41445,-6900,48345,90,25,115,0.24%,FALSE,Closed,41445,-6900,115,0
18/6/2024,943,0.023887079,1405,0.018115942,0.005771137,0.005771137,0.013092595,0.028208621,2.82%,1,0,0,5,1.129958525,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
19/6/2024,981,0.040296925,1485,0.056939502,-0.016642577,0.016642577,0.016809413,0.032651403,3.27%,0,0,0,5,2.138942969,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
20/6/2024,981,0,1500,0.01010101,-0.01010101,0.01010101,0.018203269,0.025037879,2.50%,0,0,0,5,inf,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
21/6/2024,970,-0.011213048,1490,-0.006666667,-0.004546381,0.004546381,0.021112228,0.026994103,2.70%,0,0,0,5,0.913270853,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
24/6/2024,940,-0.030927835,1410,-0.053691275,0.02276344,0.02276344,0.028193609,0.040238442,4.02%,1,0,0,5,2.604026846,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
25/6/2024,945,0.005319149,1385,-0.017730496,0.023049645,0.023049645,0.02613419,0.040500907,4.05%,1,0,0,5,4.885361552,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
26/6/2024,960,0.015873016,1405,0.014440433,0.001432583,0.001432583,0.017851748,0.027288589,2.73%,1,0,0,5,1.331453069,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
27/6/2024,960,0,1395,-0.007117438,0.007117438,0.007117438,0.017851748,0.024996012,2.50%,1,0,0,5,inf,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
28/6/2024,966,0.00625,1400,0.003584229,0.002665771,0.002665771,0.017842432,0.026156989,2.62%,1,0,0,5,0.831125656,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
