index,XME_Close,XME_dailyReturns,TIO=F_Close,TIO=F_dailyReturns,spread,abs_sprd,XME_rolling avg,TIO=F_rolling avg,isSprdPos,signal,axe,leverage,ratio,XME_Size,TIO=F_Size,XME_Cashflow,TIO=F_Cashflow,XME_MTM,TIO=F_MTM,Live Trades,XME_PnL,TIO=F_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL
2020-01-01,27.486347198486328,0.0,92.58000183105469,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-02,27.486347198486328,0.0,92.58000183105469,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-03,27.241273880004883,-0.008916183613330131,93.41000366210938,0.008965238870585868,-0.017881422483916,0.017881422483916,,,0,0,0.0,10,3.4478537718522504,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-04,27.241273880004883,0.0,93.41000366210938,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-05,27.241273880004883,0.0,93.41000366210938,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-06,26.986766815185547,-0.009342700563138684,93.8499984741211,0.004710360719000883,-0.014053061282139567,0.014053061282139567,,,0,0,0.0,10,1.7533360013682104,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-07,27.118736267089844,0.004890154230333232,93.7300033569336,-0.0012785841144216104,0.006168738344754843,0.006168738344754843,,,1,0,0.0,10,0.9036826261943693,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-08,26.666284561157227,-0.01668409993284581,94.61000061035156,0.009388639943464394,-0.026072739876310203,0.026072739876310203,,,0,0,0.0,10,1.9965235516911732,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-09,26.22325897216797,-0.01661369764404974,93.56999969482422,-0.01099250511381511,-0.005621192530234631,0.005621192530234631,,,0,0,0.0,10,2.3609149272355823,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-10,25.978181838989258,-0.009345792353224414,93.55999755859375,-0.00010689469128022377,-0.00923889766194419,0.00923889766194419,,,0,0,0.0,10,0.0411928138406165,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-11,25.978181838989258,0.0,93.55999755859375,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-12,25.978181838989258,0.0,93.55999755859375,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-13,26.204410552978516,0.00870841213566842,94.02999877929688,0.005023527500722436,0.003684884634945984,0.003684884634945984,,,1,0,0.0,10,2.0699594850851537,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-14,26.4871883392334,0.010791228662945018,94.83000183105469,0.008507955568898273,0.002283273094046745,0.002283273094046745,,,1,0,0.0,10,2.822696711711391,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-15,26.41178321838379,-0.002846852594690752,94.58999633789062,-0.0025309025469771873,-0.0003159500477135646,0.0003159500477135646,,,0,0,0.0,10,3.1838890608284545,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-16,26.31751823425293,-0.0035690503496653703,94.55000305175781,-0.0004228067203845276,-0.0031462436292808427,0.0031462436292808427,,,0,0,0.0,10,0.42560411823833627,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-17,25.883920669555664,-0.016475625126875615,94.80999755859375,0.002749809608082243,-0.019225434734957858,0.019225434734957858,,,0,0,0.0,10,0.6113427955553852,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-18,25.883920669555664,0.0,94.80999755859375,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-19,25.883920669555664,0.0,94.80999755859375,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-20,25.883920669555664,0.0,94.80999755859375,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-21,25.14868927001953,-0.028404947184098805,94.80000305175781,-0.00010541617016457394,-0.02829953101393423,0.02829953101393423,,,0,0,0.0,10,0.01398963051399699,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2020-01-22,25.044994354248047,-0.004123273171739439,94.76000213623047,-0.00042195057214822196,-0.003701322599591217,0.003701322599591217,,,0,0,0.0,10,0.3871895215440484,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
