index,GLD_Close,GLD_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,GLD_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,COPX_Size,GLD_Cashflow,COPX_Cashflow,GLD_MTM,COPX_MTM,Live Trades,GLD_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital,optimal,predicted
2010-01-01,109.8000030517578,0.0,32.222774505615234,0.0,0.0,0.0,0.0,0.0,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-02,109.8000030517578,0.0,32.222774505615234,0.0,0.0,0.0,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-03,109.8000030517578,0.0,32.222774505615234,0.0,0.0,0.0,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-04,109.8000030517578,0.0,32.222774505615234,0.0,0.0,0.0,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-05,109.6999969482422,-0.0009108023746454,32.222774505615234,0.0,-0.0009108023746454,0.0009108023746454,0.0,0.0,0,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-06,111.51000213623048,0.0164995919629995,32.222774505615234,0.0,0.0164995919629995,0.0164995919629995,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-07,110.81999969482422,-0.0061878076243176,32.222774505615234,0.0,-0.0061878076243176,0.0061878076243176,0.0,0.0,0,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-08,111.37000274658205,0.0049630306196752,32.222774505615234,0.0,0.0049630306196752,0.0049630306196752,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-09,111.37000274658205,0.0,32.222774505615234,0.0,0.0,0.0,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-10,111.37000274658205,0.0,32.222774505615234,0.0,0.0,0.0,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-11,112.8499984741211,0.0132889978543571,32.222774505615234,0.0,0.0132889978543571,0.0132889978543571,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-12,110.48999786376952,-0.0209127216859711,32.222774505615234,0.0,-0.0209127216859711,0.0209127216859711,0.0,0.0,0,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-13,111.54000091552734,0.0095031502584734,32.222774505615234,0.0,0.0095031502584734,0.0095031502584734,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-14,112.02999877929688,0.004393023666376,32.222774505615234,0.0,0.004393023666376,0.004393023666376,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-15,110.86000061035156,-0.0104436149396934,32.222774505615234,0.0,-0.0104436149396934,0.0104436149396934,0.0,0.0,0,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-16,110.86000061035156,0.0,32.222774505615234,0.0,0.0,0.0,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-17,110.86000061035156,0.0,32.222774505615234,0.0,0.0,0.0,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-18,110.86000061035156,0.0,32.222774505615234,0.0,0.0,0.0,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-19,111.5199966430664,0.0059534189886447,32.222774505615234,0.0,0.0059534189886447,0.0059534189886447,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-20,108.94000244140624,-0.0231348124042519,32.222774505615234,0.0,-0.0231348124042519,0.0231348124042519,0.0,0.0,0,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-21,107.37000274658205,-0.0144115995928001,32.222774505615234,0.0,-0.0144115995928001,0.0144115995928001,0.0,0.0,0,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-22,107.16999816894533,-0.0018627602917061,32.222774505615234,0.0,-0.0018627602917061,0.0018627602917061,0.0,0.0,0,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-23,107.16999816894533,0.0,32.222774505615234,0.0,0.0,0.0,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-24,107.16999816894533,0.0,32.222774505615234,0.0,0.0,0.0,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-25,107.4800033569336,0.002892648999579,32.222774505615234,0.0,0.002892648999579,0.002892648999579,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2010-01-26,107.55999755859376,0.0007442705541653,32.222774505615234,0.0,0.0007442705541653,0.0007442705541653,0.0,0.0,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
