index,NVDA_Close,NVDA_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,NVDA_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,NVDA_Size,COPX_Size,NVDA_Cashflow,COPX_Cashflow,NVDA_MTM,COPX_MTM,Live Trades,NVDA_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2010-01-01,0.4239226281642914,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-02,0.4239226281642914,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-03,0.4239226281642914,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-04,0.4239226281642914,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-05,0.4301130175590515,0.014602639688205299,32.22278594970703,0.0,0.014602639688205299,0.014602639688205299,,,1,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-06,0.43286430835723877,0.006396669447023884,32.22278594970703,0.0,0.006396669447023884,0.006396669447023884,,,1,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-07,0.42438116669654846,-0.019597692618466556,32.22278594970703,0.0,-0.019597692618466556,0.019597692618466556,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-08,0.425298273563385,0.0021610451613003345,32.22278594970703,0.0,0.0021610451613003345,0.0021610451613003345,,,1,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-09,0.425298273563385,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-10,0.425298273563385,0.0,32.22278594970703,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-11,0.4193371534347534,-0.014016328067090411,32.22278594970703,0.0,-0.014016328067090411,0.014016328067090411,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-12,0.40512239933013916,-0.0338981508988232,32.22278594970703,0.0,-0.0338981508988232,0.0338981508988232,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-13,0.41062483191490173,0.013582148491075197,32.22278594970703,0.0,0.013582148491075197,0.013582148491075197,,,1,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-14,0.404205322265625,-0.015633515438752466,32.22278594970703,0.0,-0.015633515438752466,0.015633515438752466,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
