index,HG=F_Close,HG=F_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,HG=F_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,HG=F_Size,COPX_Size,HG=F_Cashflow,COPX_Cashflow,HG=F_MTM,COPX_MTM,Live Trades,HG=F_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2020-01-01,2.8329999446868896,0.0,18.66920280456543,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-02,2.8329999446868896,0.0,18.66920280456543,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-03,2.7985000610351562,-0.012177862451580923,18.146358489990234,-0.028005711869353966,0.015827849417773043,0.015827849417773043,,,1,0,0.0,10,14.91213125196216,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-04,2.7985000610351562,0.0,18.146358489990234,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-05,2.7985000610351562,0.0,18.146358489990234,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-06,2.80049991607666,0.0007146167582230412,18.047199249267578,-0.005464415396474909,0.00617903215469795,0.00617903215469795,,,1,0,0.0,10,49.27705662632225,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-07,2.803999900817871,0.0012497714144246164,18.146358489990234,0.005494439295154363,-0.004244667880729747,0.004244667880729747,,,0,0,0.0,10,28.451442151893023,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-08,2.819000005722046,0.005349538314819435,18.03818130493164,-0.005961371540095239,0.011310909854914675,0.011310909854914675,,,1,0,0.0,10,7.130624360601295,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-09,2.810499906539917,-0.0030152888133647693,17.939023971557617,-0.005497080426113299,0.0024817916127485296,0.0024817916127485296,,,1,0,0.0,10,11.636393781565777,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-10,2.81850004196167,0.0028465168787719097,18.09227180480957,0.008542707423487839,-0.005696190544715929,0.005696190544715929,,,0,0,0.0,10,19.264459441261714,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-11,2.81850004196167,0.0,18.09227180480957,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-12,2.81850004196167,0.0,18.09227180480957,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-13,2.8615000247955322,0.015256335708242252,18.47989845275879,0.02142498477422694,-0.006168649065984688,0.006168649065984688,,,0,0,0.0,10,9.069348945518142,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-14,2.875999927520752,0.005067238371334826,18.524972915649414,0.002439107715112687,0.0026281306562221385,0.0026281306562221385,,,1,0,0.0,10,3.100475872941964,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-15,2.869999885559082,-0.002086245519081875,18.209461212158203,-0.017031695804784364,0.014945450285702488,0.014945450285702488,,,1,0,0.0,10,51.797367887472994,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-16,2.8519999980926514,-0.006271738043266195,18.182416915893555,-0.0014851782790031853,-0.00478655976426301,0.00478655976426301,,,0,0,0.0,10,1.509707349601989,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-17,2.8494999408721924,-0.0008765979039729865,18.35369300842285,0.009419874889106783,-0.01029647279307977,0.01029647279307977,,,0,0,0.0,10,69.21488756798782,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-18,2.8494999408721924,0.0,18.35369300842285,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-19,2.8494999408721924,0.0,18.35369300842285,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-20,2.8494999408721924,0.0,18.35369300842285,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-21,2.7985000610351562,-0.017897835022037456,17.75873374938965,-0.03241632399322392,0.01451848897118646,0.01451848897118646,,,1,0,0.0,10,11.49343751707939,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-22,2.7669999599456787,-0.011256065893322065,17.60548210144043,-0.008629649507217008,-0.002626416386105057,0.002626416386105057,,,0,0,0.0,10,4.878039353765644,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-23,2.7260000705718994,-0.014817452102378836,17.145740509033203,-0.02611354745972061,0.011296095357341773,0.011296095357341773,,,1,0,0.0,10,11.08466890668695,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-24,2.685499906539917,-0.014856993024026433,16.947418212890625,-0.011566855105388574,-0.0032901379186378588,0.0032901379186378588,,,0,0,0.0,10,4.9131811958791065,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-25,2.685499906539917,0.0,16.947418212890625,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-26,2.685499906539917,0.0,16.947418212890625,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-27,2.5964999198913574,-0.033140938278128584,16.19019317626953,-0.04468084914816872,0.011539910870040138,0.011539910870040138,,,1,0,0.0,10,8.40659906976606,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-28,2.5794999599456787,-0.006547259953849749,16.334426879882812,0.008908708008789512,-0.015455967962639261,0.015455967962639261,,,0,0,0.0,10,8.616353649929266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-29,2.553499937057495,-0.010079481795662093,16.334426879882812,0.0,-0.010079481795662093,0.010079481795662093,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-30,2.5234999656677246,-0.011748569465147796,16.154132843017578,-0.011037671428024254,-0.0007108980371235418,0.0007108980371235418,,,0,0,0.0,10,6.014130111048789,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-31,2.5199999809265137,-0.0013869565242038417,15.76650619506836,-0.023995509490734812,0.02260855296653097,0.02260855296653097,,,1,0,0.0,10,108.24355722626991,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-01,2.5199999809265137,0.0,15.76650619506836,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-02,2.5199999809265137,0.0,15.76650619506836,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-03,2.513000011444092,-0.0027777656886521784,15.739460945129395,-0.00171536100670322,-0.0010624046819489585,0.0010624046819489585,,,0,0,0.0,10,3.867740144149965,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-04,2.547499895095825,0.013728564860574055,16.46063232421875,0.045819318819334987,-0.03209075395876093,0.03209075395876093,,,0,0,0.0,10,21.565316085884486,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-05,2.5789999961853027,0.012365103979049552,16.749099731445312,0.01752468565877252,-0.005159581679722969,0.005159581679722969,,,0,0,0.0,10,9.204338693220965,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-06,2.5985000133514404,0.007561076849546655,16.658952713012695,-0.005382200827389716,0.012943277676936371,0.012943277676936371,,,1,0,0.0,10,4.56353324340841,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-07,2.559000015258789,-0.015201076732613061,16.063987731933594,-0.035714428831673195,0.020513352099060134,0.020513352099060134,,,1,0,0.0,10,14.748655553845843,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-08,2.559000015258789,0.0,16.063987731933594,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-09,2.559000015258789,0.0,16.063987731933594,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-10,2.557499885559082,-0.000586217151528734,16.100046157836914,0.002244674641505018,-0.002830891793033752,0.002830891793033752,,,0,0,0.0,10,24.104957915987775,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-11,2.5885000228881836,0.012121266360223037,16.442598342895508,0.021276472234947663,-0.009155205874724626,0.009155205874724626,,,0,0,0.0,10,11.149975191652082,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-12,2.6059999465942383,0.006760642670007977,17.03756332397461,0.0361843650663749,-0.029423722396366925,0.029423722396366925,,,0,0,0.0,10,34.99178157500606,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-13,2.619499921798706,0.005180343622842587,16.803184509277344,-0.013756592432877857,0.018936936055720444,0.018936936055720444,,,1,0,0.0,10,17.034347738829133,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-14,2.6054999828338623,-0.0053445082583665204,16.758115768432617,-0.0026821547320297068,-0.0026623535263368137,0.0026623535263368137,,,0,0,0.0,10,3.2278265360193408,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-15,2.6054999828338623,0.0,16.758115768432617,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-16,2.6054999828338623,0.0,16.758115768432617,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-17,2.6054999828338623,0.0,16.758115768432617,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-18,2.609999895095825,0.0017270820539667664,16.49669075012207,-0.015599905259217506,0.017326987313184272,0.017326987313184272,,,1,0,0.0,10,57.09069534441064,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-19,2.612499952316284,0.0009578763681779012,16.586833953857422,0.0054643203961790565,-0.004506444028001155,0.004506444028001155,,,0,0,0.0,10,36.218787136243904,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-20,2.5950000286102295,-0.006698535512139947,16.397531509399414,-0.01141281361980373,0.004714278107663783,0.004714278107663783,,,1,0,0.0,10,10.765989898195743,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-21,2.618000030517578,0.008863199095865415,16.11807632446289,-0.017042515501576205,0.02590571459744162,0.02590571459744162,,,1,0,0.0,10,11.838229451752037,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-22,2.618000030517578,0.0,16.11807632446289,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-23,2.618000030517578,0.0,16.11807632446289,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-24,2.5924999713897705,-0.009740282211824991,15.333806037902832,-0.04865780945395748,0.03891752724213249,0.03891752724213249,,,1,0,0.0,10,29.546920139405536,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-25,2.5964999198913574,0.0015428923995099986,14.919136047363281,-0.027042861342744917,0.028585753742254916,0.028585753742254916,,,1,0,0.0,10,100.70994586168045,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-26,2.5764999389648438,-0.007702669571948428,14.79293155670166,-0.008459235860639902,0.0007565662886914737,0.0007565662886914737,,,1,0,0.0,10,6.305419384451027,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-27,2.571500062942505,-0.001940569043579199,14.2430419921875,-0.03717245377675282,0.035231884733173624,0.035231884733173624,,,1,0,0.0,10,106.09828071628357,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-28,2.5460000038146973,-0.00991641396214027,14.062750816345215,-0.012658193098158188,0.002741779136017919,0.002741779136017919,,,1,0,0.0,10,7.050646643339567,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-29,2.5460000038146973,0.0,14.062750816345215,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-01,2.5460000038146973,0.0,14.062750816345215,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-02,2.6010000705718994,0.021602539935111853,14.477420806884766,0.02948711784450997,-0.007884577909398116,0.007884577909398116,,,0,0,0.0,10,7.597633549892936,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-03,2.5794999599456787,-0.008266093826553966,14.179939270019531,-0.020547965057682527,0.01228187123112856,0.01228187123112856,,,1,0,0.0,10,13.664927547049889,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-04,2.5929999351501465,0.0052335628664836875,14.405304908752441,0.015893272491610544,-0.010659709625126856,0.010659709625126856,,,0,0,0.0,10,16.87080607575421,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-05,2.5824999809265137,-0.004049346118870978,14.07176685333252,-0.023153835169241632,0.019104489050370654,0.019104489050370654,,,1,0,0.0,10,31.156333321273298,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-06,2.572999954223633,-0.0036786163690396556,13.61202335357666,-0.03267134145610018,0.028992725087060522,0.028992725087060522,,,1,0,0.0,10,46.98566464094184,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-07,2.572999954223633,0.0,13.61202335357666,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-08,2.572999954223633,0.0,13.61202335357666,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-09,2.5239999294281006,-0.019043927581536724,11.863194465637207,-0.12847677692823933,0.10943284934670261,0.10943284934670261,,,1,0,0.0,10,31.70884498333981,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-10,2.5339999198913574,0.003961961467060293,12.746622085571289,0.07446793715579791,-0.07050597568873762,0.07050597568873762,,,0,0,0.0,10,94.54696433642236,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-11,2.51200008392334,-0.008681861351029885,11.755016326904297,-0.07779361088844505,0.06911174953741517,0.06911174953741517,,,1,0,0.0,10,41.93094705156891,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-03-12,2.4809999465942383,-0.012340818588144398,10.438888549804688,-0.11196307520962956,0.09962225662148516,0.09962225662148516,,,1,0,0.0,10,38.17318141033517,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
