index,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,2330.TW_Cashflow,2454.TW_Cashflow,2330.TW_MTM,2454.TW_MTM,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL
2010-01-01,40.40616989135742,0.0,266.6224670410156,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-02,40.40616989135742,0.0,266.6224670410156,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-03,40.40616989135742,0.0,266.6224670410156,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-04,40.40616989135742,0.0,266.6224670410156,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-05,40.15711975097656,-0.006163666119567757,267.0928039550781,0.0017640558175098242,-0.007927721937077581,0.007927721937077581,,,0,0,0.0,10,1.9035875209998272,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-06,40.40616989135742,0.006201892514335672,270.38446044921875,0.012324017889655536,-0.0061221253753198646,0.0061221253753198646,,,0,0,0.0,10,13.297258989834457,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-07,39.970333099365234,-0.010786392107048237,263.8011779785156,-0.024347858082397256,0.013561465975349019,0.013561465975349019,,,1,0,0.0,10,14.897847383129013,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-08,39.84583282470703,-0.0031148170406460896,258.6286315917969,-0.0196077455997562,0.01649292855911011,0.01649292855911011,,,1,0,0.0,10,40.85910176485969,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-09,39.84583282470703,0.0,258.6286315917969,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-10,39.84583282470703,0.0,258.6286315917969,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-11,40.15711975097656,0.007812283097180295,262.39044189453125,0.014545219837345025,-0.00673293674016473,0.00673293674016473,,,0,0,0.0,10,12.165438629237926,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-12,39.59679412841797,-0.013953331962882287,262.39044189453125,0.0,-0.013953331962882287,0.013953331962882287,,,0,0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-13,39.09870910644531,-0.012578922938995984,257.2178955078125,-0.01971316618612906,0.007134243247133076,0.007134243247133076,,,1,0,0.0,10,10.309834370997248,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-14,39.34775161743164,0.006369583975478932,269.4440002441406,0.04753209224494559,-0.04116250826946666,0.04116250826946666,,,0,0,0.0,10,51.10041885362517,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-15,39.534523010253906,0.004746685265226702,274.6165771484375,0.01919722428263415,-0.014450539017407449,0.014450539017407449,,,0,0,0.0,10,28.09300839556076,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-16,39.534523010253906,0.0,274.6165771484375,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-17,39.534523010253906,0.0,274.6165771484375,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-18,39.160980224609375,-0.0094485213732729,275.55706787109375,0.0034247412607866234,-0.012873262634059524,0.012873262634059524,,,0,0,0.0,10,2.5504799704564394,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
2010-01-19,38.91194152832031,-0.006359358087072664,268.03326416015625,-0.027303976519510442,0.020944618432437778,0.020944618432437778,,,1,0,0.0,10,29.57456845518102,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
