Date,NVDA_Close,NVDA_dailyReturns,AMD_Close,AMD_dailyReturns,spread,abs_sprd,NVDA_rolling avg,AMD_rolling avg,isSprdPos,signal,axe,leverage,ratio,NVDA_Size,AMD_Size,NVDA_Cashflow,AMD_Cashflow,NVDA_MTM,AMD_MTM,Live Trades,NVDA_PnL,AMD_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2023-01-04,14.74899959564209,0.03031785036539758,64.66000366210938,0.009996986138740782,0.0203208642266568,0.0203208642266568,,,1,0,,5,1.4455857082860097,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2023-01-05,14.265000343322754,-0.032815734326980706,62.33000183105469,-0.03603466902399921,0.003218934697018505,0.003218934697018505,,,1,0,0.0,5,4.798038888302409,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2023-01-06,14.859000205993652,0.04164036791972059,63.959999084472656,0.02615108624312379,0.0154892816765968,0.0154892816765968,,,1,0,0.0,5,2.7032986962895613,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2023-01-09,15.628000259399414,0.051753149118038966,67.23999786376953,0.05128203293069067,0.0004711161873482972,0.0004711161873482972,,,1,0,0.0,5,4.263367136587443,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2023-01-10,15.909000396728516,0.017980556223762267,68.05000305175781,0.012046478490814083,0.005934077732948184,0.005934077732948184,0.03301836094183792,0.031828861315566094,1,0,0.0,5,2.865776014569374,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03301836094183792,0.0,0.0,0.0,0,0.0,0.0
2023-01-11,16.000999450683594,0.0057828305777147815,69.05999755859375,0.014841946532577754,-0.009059115954862973,0.009059115954862973,0.033253706786650364,0.03180017744286272,0,0,0.0,5,11.07719605445175,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.033253706786650364,0.0,0.0,0.0,0,0.0,0.0
2023-01-12,16.51099967956543,0.03187302333542963,70.80000305175781,0.025195562622019496,0.006677460713410133,0.006677460713410133,0.01832318199395018,0.01548392245347445,1,0,0.0,5,3.3896956608309843,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01832318199395018,0.0,0.0,0.0,0,0.0,0.0
2023-01-13,16.89900016784668,0.02349951522084104,71.0,0.0028248155313777,0.02067469968946334,0.02067469968946334,0.017152673581472523,0.018592640656959418,1,1,1.0,5,0.5050431995663566,-3.0,5.0,50.69700050354004,-355.0,0.0,0.0,Opened,50.69700050354004,-355.0,0.0,0.018592640656959418,405.69700050354004,0.0,0.0,0,0.0,405.69700050354004
2023-01-17,17.70199966430664,0.04751757432299497,71.58999633789062,0.008309807575924255,0.039207766747070716,0.039207766747070716,0.015608943245998305,0.00833563633414143,1,1,0.0,5,0.7072398390020985,3.0,-5.0,-53.10599899291992,357.9499816894531,-2.408998489379883,2.949981689453125,Live,0.0,0.0,0.0,0.015608943245998305,411.05598068237305,0.5409832000732422,0.0013160815691701739,0,0.0,0.0
2023-01-18,17.37700080871582,-0.018359443099873696,70.52999877929688,-0.014806503880664734,-0.0035529392192089615,0.0035529392192089615,0.025324105674110996,0.01489020658945784,0,0,-1.0,5,3.2733472256812006,3.0,-5.0,-52.13100242614746,352.6499938964844,-1.4340019226074219,-2.350006103515625,Closed,-52.13100242614746,352.6499938964844,-3.784008026123047,0.025324105674110996,404.78099632263184,-3.784008026123047,-0.009348284777447884,0,-3.784008026123047,0.0
2023-01-19,16.764999389648438,-0.0352190476253198,67.70999908447266,-0.03998298232853492,0.0047639347032151225,0.0047639347032151225,0.03506123198197541,0.02480711157504082,1,0,0.0,5,4.585079213847439,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03506123198197541,0.0,0.0,0.0,0,0.0,0.0
2023-01-20,17.839000701904297,0.06406211460520561,70.06999969482422,0.034854536143285264,0.029207578461920347,0.029207578461920347,0.0423174869932608,0.02781300710384963,1,0,0.0,5,2.1370743429187513,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0423174869932608,0.0,0.0,0.0,0,0.0,0.0
2023-01-23,19.19300079345703,0.07590111767909713,76.52999877929688,0.09219350810058335,-0.016292390421486225,0.016292390421486225,0.05028503377999731,0.05075222569805296,0,0,0.0,5,4.8432958094942204,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.05075222569805296,0.0,0.0,0.0,0,0.0,0.0
2023-01-24,19.264999389648438,0.0037512943893562856,74.69999694824219,-0.023912215604918408,0.027663509994274693,0.027663509994274693,0.049577101250208484,0.05393670676954876,1,0,0.0,5,24.71668682543023,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.05393670676954876,0.0,0.0,0.0,0,0.0,0.0
2023-01-25,19.322999954223633,0.003010670460044773,74.91000366210938,0.0028113349725127357,0.00019933548753203745,0.00019933548753203745,0.04648044636951806,0.05249419853311941,1,0,0.0,5,3.620050585163504,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.05249419853311941,0.0,0.0,0.0,0,0.0,0.0
2023-01-26,19.802000045776367,0.024789116218366214,75.16000366210938,0.0033373379759484845,0.02145177824241773,0.02145177824241773,0.03398212355343065,0.04448791030281038,1,0,0.0,5,0.5109952724396573,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04448791030281038,0.0,0.0,0.0,0,0.0,0.0
2023-01-27,20.364999771118164,0.028431457632577928,75.4000015258789,0.0031931592878635673,0.02523829834471436,0.02523829834471436,0.029639882181539713,0.04442860786623827,1,0,0.0,5,0.415822899876091,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04442860786623827,0.0,0.0,0.0,0,0.0,0.0
2023-01-30,19.16200065612793,-0.059071894353583065,72.44999694824219,-0.03912472835460368,-0.019947165998979388,0.019947165998979388,0.035125871021623664,0.019717651449243118,0,0,0.0,5,2.5041939255713843,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.035125871021623664,0.0,0.0,0.0,0,0.0,0.0
2023-01-31,19.53700065612793,0.019569981586451846,75.1500015258789,0.037267145498509624,-0.01769716391205778,0.01769716391205778,0.036222958802580606,0.027099904981395095,0,0,0.0,5,7.324986263248904,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.036222958802580606,0.0,0.0,0.0,0,0.0,0.0
2023-02-01,20.94300079345703,0.07196601781799594,84.63999938964844,0.12628074079947327,-0.054314722981477326,0.054314722981477326,0.04745012072875731,0.062165046706068997,0,0,0.0,5,7.091635269878233,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.062165046706068997,0.0,0.0,0.0,0,0.0,0.0
