index,NVDA_Close,NVDA_dailyReturns,AMD_Close,AMD_dailyReturns,spread,abs_sprd,NVDA_rolling avg,AMD_rolling avg,isSprdPos,signal,axe,leverage,ratio,NVDA_Size,AMD_Size,NVDA_Cashflow,AMD_Cashflow,NVDA_MTM,AMD_MTM,Live Trades,NVDA_PnL,AMD_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2020-01-01,5.972711086273193,0.0,49.099998474121094,0.0,0.0,0.0,,,1,0,,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-02,5.972711086273193,0.0,49.099998474121094,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-03,5.87711238861084,-0.016005913609661082,48.599998474121094,-0.010183299705468052,-0.00582261390419303,0.00582261390419303,,,0,0,0.0,5,5.26114555277519,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-04,5.87711238861084,0.0,48.599998474121094,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-05,5.87711238861084,0.0,48.599998474121094,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-06,5.901757717132568,0.004193441760529826,48.38999938964844,-0.004320968951973869,0.008514410712503695,0.008514410712503695,,,1,0,0.0,5,8.448600410214397,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-07,5.973210334777832,0.012107006263208486,48.25,-0.0028931471670650133,0.0150001534302735,0.0150001534302735,,,1,0,0.0,5,1.930293145226704,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-08,5.98441219329834,0.0018753497520900275,47.83000183105469,-0.008704625263115329,0.010579975015205356,0.010579975015205356,,,1,0,0.0,5,37.09767586336844,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-09,6.050136566162109,0.010982594570837056,48.970001220703125,0.023834399874688383,-0.012851805303851327,0.012851805303851327,,,0,0,0.0,5,17.565649255768886,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-10,6.082501411437988,0.005349440450136633,48.16999816894531,-0.01633659448265634,0.021686034932792975,0.021686034932792975,,,1,0,0.0,5,24.18508304339908,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-11,6.082501411437988,0.0,48.16999816894531,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-12,6.082501411437988,0.0,48.16999816894531,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-13,6.2732014656066895,0.031352241663289204,48.75,0.012040727695701081,0.019311513967588123,0.019311513967588123,,,1,0,0.0,5,2.9844858322305328,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-14,6.156190872192383,-0.01865245266803983,48.209999084472656,-0.011076941856971168,-0.007575510811068664,0.007575510811068664,,,0,0,0.0,5,4.650599880288237,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-15,6.113621234893799,-0.006914931356477583,48.54999923706055,0.007052482037847474,-0.013967413394325057,0.013967413394325057,,,0,0,0.0,5,8.099250176510472,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-16,6.197269439697266,0.01368226810094808,49.77000045776367,0.02512875880277754,-0.01144649070182946,0.01144649070182946,,,0,0,0.0,5,14.749598822702236,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-17,6.2059831619262695,0.0014060583154875683,50.93000030517578,0.02330720990040014,-0.02190115158491257,0.02190115158491257,,,0,0,0.0,5,136.0348055094183,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-18,6.2059831619262695,0.0,50.93000030517578,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-19,6.2059831619262695,0.0,50.93000030517578,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-20,6.2059831619262695,0.0,50.93000030517578,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-21,6.172623634338379,-0.005375381582172434,51.04999923706055,0.0023561541560126464,-0.00773153573818508,0.00773153573818508,,,0,0,0.0,5,3.625102954454799,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-22,6.2266459465026855,0.008751920636109967,51.43000030517578,0.00744370369822378,0.0013082169378861863,0.0013082169378861863,,,1,0,0.0,5,7.025028032272984,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-23,6.295109272003174,0.010995217343125585,51.709999084472656,0.005444269446537309,0.005550947896588276,0.005550947896588276,,,1,0,0.0,5,4.067307893379445,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-24,6.235857963562012,-0.009412276400772912,50.349998474121094,-0.026300534411727305,0.016888258010954393,0.016888258010954393,,,1,0,0.0,5,22.561768991649593,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-25,6.235857963562012,0.0,50.349998474121094,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-26,6.235857963562012,0.0,50.349998474121094,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-27,5.9799299240112305,-0.0410413516546152,49.2599983215332,-0.021648464461188177,-0.019392887193427022,0.019392887193427022,,,0,0,0.0,5,4.345139656536538,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-28,6.173369407653809,0.032348118807523196,50.529998779296875,0.025781577365757036,0.0065665414417661605,0.0065665414417661605,,,1,0,0.0,5,6.523602306075141,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-29,6.1128740310668945,-0.009799409786155233,47.5099983215332,-0.05976648586425504,0.049967076078099804,0.049967076078099804,,,1,0,0.0,5,47.40207691933709,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-30,6.119594097137451,0.0010993300428576713,48.779998779296875,0.02673122506064285,-0.025631895017785178,0.025631895017785178,,,0,0,0.0,5,193.82506300235008,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-01-31,5.886074542999268,-0.03815932077054207,47.0,-0.036490340792143305,-0.0016689799783987658,0.0016689799783987658,,,0,0,0.0,5,7.635709260898678,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-01,5.886074542999268,0.0,47.0,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-02,5.886074542999268,0.0,47.0,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-03,5.983166694641113,0.016495229704035053,48.02000045776367,0.021702137399226995,-0.005206907695191942,0.005206907695191942,,,0,0,0.0,5,10.559301687577578,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-04,6.1524577140808105,0.028294551711441462,49.45000076293945,0.029779264713534204,-0.0014847130020927413,0.0014847130020927413,,,0,0,0.0,5,8.459190745276928,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-05,6.242827892303467,0.014688467994803167,49.84000015258789,0.007886741832787258,0.006801726162015909,0.006801726162015909,,,1,0,0.0,5,4.2866477396473455,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-06,6.329713344573975,0.01391764337723056,49.31999969482422,-0.010433395990603223,0.024351039367833782,0.024351039367833782,,,1,0,0.0,5,5.841158751922014,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-07,6.263491630554199,-0.010462039971611437,49.72999954223633,0.008313054540735054,-0.01877509451234649,0.01877509451234649,,,0,0,0.0,5,6.308791995022169,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-08,6.263491630554199,0.0,49.72999954223633,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-09,6.263491630554199,0.0,49.72999954223633,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-10,6.546803951263428,0.045232330051690584,52.2599983215332,0.05087469942862377,-0.005642369376933187,0.005642369376933187,,,0,0,0.0,5,8.978276000043929,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-11,6.669290542602539,0.018709372122785783,53.79999923706055,0.02946806285856307,-0.010758690735777288,0.010758690735777288,,,0,0,0.0,5,12.705594963100387,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-12,6.785055637359619,0.01735793245437245,53.88999938964844,0.0016728653134607807,0.015685067140911668,0.015685067140911668,,,1,0,0.0,5,0.7654516219837826,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-13,6.741238117218018,-0.006457945591534342,54.529998779296875,0.011876032601540132,-0.018333978193074474,0.018333978193074474,,,0,0,0.0,5,14.87554272249116,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-14,7.214504241943359,0.07020462954966056,55.310001373291016,0.01430410070521182,0.05590052884444874,0.05590052884444874,,,1,0,0.0,5,1.562039396620066,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-15,7.214504241943359,0.0,55.310001373291016,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-16,7.214504241943359,0.0,55.310001373291016,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2020-02-17,7.214504241943359,0.0,55.310001373291016,0.0,0.0,0.0,,,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
