Date,GLD_Close,GLD_dailyReturns,GC=F_Close,GC=F_dailyReturns,spread,abs_sprd,GLD_rolling avg,GC=F_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,GC=F_Size,GLD_Cashflow,GC=F_Cashflow,GLD_MTM,GC=F_MTM,Live Trades,GLD_PnL,GC=F_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2019-01-03,122.43000030517578,0.009066170423806419,1291.800048828125,0.008430951466139813,0.0006352189576666056,0.0006352189576666056,,,1,0,,5,9.812059130063755,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-04,121.44000244140625,-0.00808623590052937,1282.699951171875,-0.0070445094536923936,-0.001041726446836977,0.001041726446836977,,,0,0,0.0,5,9.201691319688571,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-07,121.86000061035156,0.003458482876331992,1286.800048828125,0.0031964588854191955,0.0002620239909127964,0.0002620239909127964,,,1,0,0.0,5,9.759630727242362,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-08,121.52999877929688,-0.00270804061547536,1283.199951171875,-0.002797713335128127,8.967271965276691e-05,8.967271965276691e-05,,,1,0,0.0,5,10.9083453797366,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-09,122.30999755859375,0.006418158373500793,1289.300048828125,0.004753816932956623,0.0016643414405441703,0.0016643414405441703,0.006978364364909506,0.006180567628713737,1,0,0.0,5,7.8077170353474274,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.006978364364909506,0.0,0.0,0.0,0,0.0,0.0
2019-01-10,121.58999633789062,-0.005886691481276518,1284.699951171875,-0.003567903111794002,-0.002318788369482516,0.002318788369482516,0.006149551199596179,0.004925352226440273,0,0,0.0,5,6.403916187541827,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.006149551199596179,0.0,0.0,0.0,0,0.0,0.0
2019-01-11,121.80000305175781,0.001727170986037363,1287.0999755859375,0.0018681594965994641,-0.00014098851056210115,0.00014098851056210115,0.004906951401896592,0.003690490673222244,0,0,0.0,5,11.429930797463536,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004906951401896592,0.0,0.0,0.0,0,0.0,0.0
2019-01-14,122.08999633789062,0.002380897199235621,1289.0999755859375,0.0015538808468158471,0.0008270163524197738,0.0008270163524197738,0.004771923993399023,0.0034786879412891667,1,0,0.0,5,6.891021246291761,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004771923993399023,0.0,0.0,0.0,0,0.0,0.0
2019-01-15,121.87999725341797,-0.0017200351443329431,1286.199951171875,-0.0022496505073195117,0.0005296153629865685,0.0005296153629865685,0.0046301055473174785,0.003360873465900106,1,0,0.0,5,13.802373841338117,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0046301055473174785,0.0,0.0,0.0,0,0.0,0.0
2019-01-16,122.2699966430664,0.003199863787636481,1291.5999755859375,0.004198433073444363,-0.000998569285807882,0.000998569285807882,0.0037578158946501806,0.0031887365022779247,0,0,0.0,5,13.860020442270743,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0037578158946501806,0.0,0.0,0.0,0,0.0,0.0
